Epoch: [1][118/362]	Time 0.443 (0.726)	Data 0.001 (0.145)	Loss 0.4948 (1.1775)	MAE 0.635 (0.901)
Epoch: [1][119/362]	Time 0.571 (0.724)	Data 0.093 (0.145)	Loss 0.7175 (1.1736)	MAE 0.800 (0.901)
Epoch: [1][120/362]	Time 1.485 (0.731)	Data 0.171 (0.145)	Loss 1.0010 (1.1722)	MAE 0.948 (0.901)
Epoch: [1][121/362]	Time 1.014 (0.733)	Data 0.001 (0.144)	Loss 0.5626 (1.1671)	MAE 0.657 (0.899)
Epoch: [1][122/362]	Time 0.714 (0.733)	Data 0.040 (0.143)	Loss 0.8365 (1.1644)	MAE 0.898 (0.899)
Epoch: [1][123/362]	Time 1.037 (0.735)	Data 0.001 (0.142)	Loss 1.1700 (1.1645)	MAE 0.930 (0.899)
Epoch: [1][124/362]	Time 2.272 (0.748)	Data 0.067 (0.141)	Loss 0.5857 (1.1598)	MAE 0.686 (0.897)
Epoch: [1][125/362]	Time 1.403 (0.753)	Data 0.001 (0.140)	Loss 0.7162 (1.1563)	MAE 0.803 (0.897)
Epoch: [1][126/362]	Time 1.419 (0.758)	Data 0.000 (0.139)	Loss 0.3906 (1.1502)	MAE 0.558 (0.894)
Epoch: [1][127/362]	Time 0.500 (0.756)	Data 0.001 (0.138)	Loss 0.8816 (1.1481)	MAE 0.863 (0.894)
Epoch: [1][128/362]	Time 1.318 (0.761)	Data 0.001 (0.137)	Loss 0.4788 (1.1428)	MAE 0.606 (0.892)
Epoch: [1][129/362]	Time 1.289 (0.765)	Data 0.011 (0.136)	Loss 0.9735 (1.1415)	MAE 0.820 (0.891)
Epoch: [1][130/362]	Time 1.007 (0.767)	Data 0.014 (0.135)	Loss 1.2337 (1.1422)	MAE 0.963 (0.892)
Epoch: [1][131/362]	Time 1.090 (0.769)	Data 0.051 (0.134)	Loss 0.2939 (1.1358)	MAE 0.509 (0.889)
Epoch: [1][132/362]	Time 0.439 (0.766)	Data 0.001 (0.133)	Loss 0.5468 (1.1313)	MAE 0.717 (0.887)
Epoch: [1][133/362]	Time 1.367 (0.771)	Data 0.001 (0.132)	Loss 0.3519 (1.1254)	MAE 0.549 (0.885)
Epoch: [1][134/362]	Time 0.442 (0.769)	Data 0.001 (0.131)	Loss 0.4418 (1.1203)	MAE 0.604 (0.883)
Epoch: [1][135/362]	Time 1.166 (0.771)	Data 0.001 (0.130)	Loss 0.8031 (1.1180)	MAE 0.852 (0.882)
Epoch: [1][136/362]	Time 1.195 (0.775)	Data 0.005 (0.129)	Loss 0.6685 (1.1147)	MAE 0.714 (0.881)
Epoch: [1][137/362]	Time 0.743 (0.774)	Data 0.005 (0.128)	Loss 0.9157 (1.1132)	MAE 0.805 (0.881)
Epoch: [1][138/362]	Time 0.938 (0.776)	Data 0.065 (0.128)	Loss 0.5393 (1.1091)	MAE 0.690 (0.879)
Epoch: [1][139/362]	Time 1.061 (0.778)	Data 0.001 (0.127)	Loss 0.3238 (1.1034)	MAE 0.533 (0.877)
Epoch: [1][140/362]	Time 1.466 (0.783)	Data 0.002 (0.126)	Loss 0.3294 (1.0979)	MAE 0.511 (0.874)
Epoch: [1][141/362]	Time 0.957 (0.784)	Data 0.003 (0.125)	Loss 0.4582 (1.0933)	MAE 0.588 (0.872)
Epoch: [1][142/362]	Time 1.913 (0.792)	Data 0.070 (0.125)	Loss 0.5137 (1.0893)	MAE 0.684 (0.871)
Epoch: [1][143/362]	Time 1.303 (0.795)	Data 0.004 (0.124)	Loss 0.5744 (1.0857)	MAE 0.618 (0.869)
Epoch: [1][144/362]	Time 0.430 (0.793)	Data 0.002 (0.123)	Loss 0.6796 (1.0828)	MAE 0.772 (0.868)
Epoch: [1][145/362]	Time 0.428 (0.790)	Data 0.001 (0.122)	Loss 0.3644 (1.0779)	MAE 0.554 (0.866)
Epoch: [1][146/362]	Time 2.370 (0.801)	Data 0.005 (0.122)	Loss 0.4524 (1.0736)	MAE 0.596 (0.864)
